key,id,source,status,name,organization,operating_unit,location,address,address_details,description,phone_numbers,email_address,urls,manual_url,situations,services
rec2N6EgtrnswsS9R,shil:132399,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - אשדוד","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recCjdj7Uef9kIgA6""]","קיבוץ גלויות 1, אשדוד",,"יום א': 10:00-14:00, 16:00-19:00

יום ב': 09:00-11:30

יום ג': 10:00-12:30

יום ה': 10:00-14:00

התחנה נותנת מענה טלפוני ומקבלת קהל בתיאום מראש בלבד.","[""08-851-6841"", ""08-851-6839""]",etimo@ashdod.muni.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-ashdod"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - אשדוד""}]",,,"[""recmXcYeVDjJftAUR""]"
reciCHRMomoafuWpC,shil:132401,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - אשקלון","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recTFscqpnJw2nEVx""]","אפרים צור 55, אשקלון","מרכז עוצמה, מבנה קהילה","יום א' 09:00-12:30, 16:00-18:00

יום ג' 16:30-18:30 – סטודנטים למשפטים

יום ה' 09:00-12:30

אין צורך בתיאום מראש.","[""08-674-8711""]",mm-revaha4@ashkelon.muni.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-ashkelon"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - אשקלון""}]",,,"[""recmXcYeVDjJftAUR""]"
recnWLMl6VF5JOXwg,shil:132402,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - באר טוביה","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recCiyXcqZ6L64Gi6""]","ניר 1, באר טוביה","המחלקה לשירותים חברתיים, בניין המועצה","ימים א', ג': 09:00-12:30

יום ד': 12:00-15:00","[""08-850-9826"", ""08-850-9834""]",r@beer-tuvia.org.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-beer-tuvia"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - באר טוביה""}]",,,"[""recmXcYeVDjJftAUR""]"
recnFsImj0gKAZQ0l,shil:389903,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - באר יעקב","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recrC0OUjWQO0Tiui""]","ז'בוטינסקי 1, באר יעקב",,"קבלת קהל בימים א' ו ג' בין השעות 09:00-13:00

קבלת קהל אחר הצהריים, בתאום מראש בלבד.

השירות ניתן לתושבי באר יעקב בלבד.","[""08-978-5320""]",Shilby@b-y.org.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-beer-yaacov"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - באר יעקב""}]",,,"[""recmXcYeVDjJftAUR""]"
rec9IcTCgSI29piVd,shil:132644,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - באר שבע","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""rec3AsincTP8kNgaQ""]","הרצל 88, באר שבע",,"ימים א' עד ה'  09:00-12:00

יום ג': 16:00-18:00

ימים א', ד', ה' 16:00-18:00 בתיאום מראש. פגישות עם עו""ד בלבד.","[""08-627-0017""]",dcohava@gmail.com,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-beer-sheva"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - באר שבע""}]",,,"[""recmXcYeVDjJftAUR""]"
recXema9RHv87KdY1,shil:140121,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - בית דגן","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""rec17lEZq6FUggJXm""]","מנחם בגין 9, בית דגן","בנין המועצה, קומת כניסה",יום ג': 17:00-19:00,"[""03-960-2109"", ""03-960-2105""]",shilbeitdagan@gmail.com,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-beit-dagan"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - בית דגן""}]",,,"[""recmXcYeVDjJftAUR""]"
recDjYGcE3Hnqjb3T,shil:132650,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - בני ברק - סניף רבי עקיבא","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recg0sNl8G0wMfVQE""]","רבי עקיבא 89, בני ברק",,ימים א' עד ה': 09:00-12:00יום ג': 16:00-18:00,"[""03-618-8829"", ""03-570-5632""]",yechielv@gmail.com,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-bnei-brak-rabi-akiva"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - בני ברק - סניף רבי עקיבא""}]",,,"[""recmXcYeVDjJftAUR""]"
recnmVfOBqCYqWG0v,shil:161518,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - בת ים","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""rec1IUyEUO5gYF4EI""]","העמדות 3, בת ים",,"יום א': 16:00-18:00

יום ב': 09:00-12:00

יום ג': 09:00-12:00

בימי רביעי בין השעות 9:00 עד 11:00 ינתן ייעוץ לדוברי רוסית.

קבלת קהל בתיאום מראש","[""03-609-5464""]",rightg@bat-yam.muni.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-bat-yam"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - בת ים""}]",,,"[""recmXcYeVDjJftAUR""]"
recT35SRd5TPXoweX,shil:132698,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - גבעת עדה","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recUl27ApTYpliv8i""]","הראשונים 11, גבעת עדה",בניין המועצה,יום א': 10:00-12:00,"[""04-618-6449""]",shil@bin-ada.co.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-givat-ada"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - גבעת עדה""}]",,,"[""recmXcYeVDjJftAUR""]"
recQPF3994LQUdEjK,shil:132701,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - גדרה","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recoGBB1eGT1bbDLJ""]","פינס 4, גדרה",המחלקה לשירותים חברתיים,יום ב': 09:00-12:00,"[""050-552-2477""]",shil@gedera.muni.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-gedera"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - גדרה""}]",,,"[""recmXcYeVDjJftAUR""]"
recnHNWebbadPK9va,shil:132702,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - גן יבנה","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""rec5YjA2W1NnvnWlQ""]","הרצל 41, גן יבנה",,"יום א': 16:00-18:00

יום ג': מהשעה 15:00 בהתאם למספר פגישות שתואמו מראש.","[""08-621-8355""]",HadasAs@gan-yavne.co.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-gan-yavne"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - גן יבנה""}]",,,"[""recmXcYeVDjJftAUR""]"
recVX6MsRXUaAcUQo,shil:220615,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - דלית אל כרמל","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recBMDyuCWfMcQuEV""]","כביש ראשי 2, דלית אל כרמל",מרכז עוצמה,"ימים א'-ה' בין השעות: 10:00-12:00 ו- 19:00-21:00.

מפגשים פרטניים בימי רביעי ושישי. יש לתאם מראש בנייד של המנהלת 054-2583974.","[""04-999-5250""]",shildalia22@gmail.com,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-daliyat-el-carmel"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - דלית אל כרמל""}]",,,"[""recmXcYeVDjJftAUR""]"
recnLIRStqHwAv20l,shil:132704,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - הוד השרון","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recDn5N8Ja8e9ZV7X""]","ז'בוטינסקי 6, הוד השרון",בית המתנדב,א'-ה': 08:30-12:00קבלת קהל לפי תיאום מראש.,"[""09-889-4599""]",osif@hod-hasharon.muni.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-hod-hasharon"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - הוד השרון""}]",,,"[""recmXcYeVDjJftAUR""]"
recL813WHwqFWJgzN,shil:132705,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - הרצליה","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recbmlQtzgMowxH5q""]","שוידלסון 5, הרצליה","בית אלבה כניסה א, קומה ב","ימים א',ב',ד',ה' : 09:00-12:00

יום ג': 09:00-15:00","[""09-954-1998"", ""09-951-4684""]",Shilherzliya@gmail.com,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-herzliya"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - הרצליה""}]",,,"[""recmXcYeVDjJftAUR""]"
recdn4pwZZ2aInHEU,shil:398171,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - השרון - לב השרון","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recNq1SDnqAW7JgTz""]","מועצה אזורית לב השרון, לב השרון","מושב חרות, מרכז דורות",יום ג': 16:00-19:00,"[""054-226-2573""]",shil@lev-hasharon.com,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-hasharon-lev-hasharon"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - השרון - לב השרון""}]",,,"[""recmXcYeVDjJftAUR""]"
recGtiWUle2wAogxy,shil:398164,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - השרון - פרדסיה","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recYYw8ibl8epNZfs""]","שלום שבזי 2, פרדסיה","התחנה נמצאת במבנה מחלקת הרווחה, הסמוך למבנה המועצה",יום שלישי: 09:00-12:00,"[""09-834-9324""]",shilpardesia@pardesia.muni.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-hasharon-pardesiya"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - השרון - פרדסיה""}]",,,"[""recmXcYeVDjJftAUR""]"
rece1G8RBwDmNFd0e,shil:132708,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - חבל מודיעין","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recdXSrFsh0KdOXm4""]","מודיעים 10, שוהם",,"יום א': 09:00-12:00

יום ב': 09:00-12:00

יום ג': 09:00-12:00

יום ד': 09:00-12:00, 17:00-19:00, בתיאום מראש.

יום ה': 09:00-12:00","[""03-972-2890""]",shil@modiin-region.muni.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-modiin-region"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - חבל מודיעין""}]",,,"[""recmXcYeVDjJftAUR""]"
recmjPpK41SYWR6nw,shil:132711,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - חדרה","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""rec90ZajTGSaU8sQP""]","הרברט סמואל 52, חדרה",קומה 1,ימים א' עד ה': 09:00-11:00 - בתיאום מראש בלבד.יום ג': פגישות בתיאום מראש בלבד.,"[""04-630-3159"", ""04-630-3180""]",shil-hadera@hadera.muni.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-hadera"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - חדרה""}]",,,"[""recmXcYeVDjJftAUR""]"
recPvFnHzYWsgpdDp,shil:132718,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - חולון","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""rec63ActqYkMSaKDS""]","הנביאים 30, חולון",נווה ארזים,"יום א': 09:30-12:30

יום ב': 09:30-12:30

יום ג': 16:00-18:00

יום ד': 09:30-12:30

מענה טלפוני לתושבי חולון בלבד.","[""03-631-5321""]",shiledna@gmail.com,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-holon"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - חולון""}]",,,"[""recmXcYeVDjJftAUR""]"
recSYZithEdIiY8mK,shil:359347,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - חוף אשקלון","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""rec3xenhyH57dt6R8""]",", חוף אשקלון","מועצה אזורית חוף אשקלון, ד.נ. חוף אשקלון","ימים א', ב', ג': 10:00-13:00 

קבלת קהל בתיאום מראש. ניתן גם להשאיר הודעה במענה קולי.","[""08-677-6458"", ""050-232-6816""]",shil@hof-ashkelon.org.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-hof-ashkelon"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - חוף אשקלון""}]",,,"[""recmXcYeVDjJftAUR""]"
recz1YkVsThulClPD,shil:132726,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - חוף הכרמל","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recyWwW3xcxKGFLc1""]","מרכז מי""רב, חוף כרמל",מועדון ותיקים (ליד בית ספר עומר),יום ג': 12:00:-09:00,"[""04-954-9233"", ""04-813-6500""]",racahgulia@bezeqint.net,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-holon-hof-hacarmel"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - חוף הכרמל""}]",,,"[""recmXcYeVDjJftAUR""]"
rectvVYfYTcQZMwlN,shil:133131,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - חוף הכרמל - עתלית","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""rechguNaAk1X7bZuH""]","המייסדים 24, חוף כרמל",במזכירות עתלית,יום א': 11:00-13:00,"[""04-984-0035""]",shil@hcarmel.0rg.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-atlit"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - חוף הכרמל - עתלית""}]",,,"[""recmXcYeVDjJftAUR""]"
rec5VpDlvdD2vAsGm,shil:132731,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - חוף השרון","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recXYS1pzGd7v6zlG""]","בניין המועצה האזורית, שפיים",,,"[""09-959-4666""]",shill@hof-hasharon.co.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-holon-hof-hasharon"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - חוף השרון""}]",,,"[""recmXcYeVDjJftAUR""]"
recZa1wLA8CpdRpKh,shil:132889,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - טבריה","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""rec3Oz2OkjKZOZfqQ""]","החשמונאים 3, טבריה",,יום א' 9:00 עד 12:00.,"[""04-672-9932""]",shiltveria@gmail.com,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-tveria"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - טבריה""}]",,,"[""recmXcYeVDjJftAUR""]"
recNTNOxiVzdNZilN,shil:132893,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - טייבה","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recWlLfubaHvQmjcc""]","40400, טייבה",,א'-ה': 09:00-12:00,"[""09-799-3260""]",dewhaifa@gmail.com,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-taybe"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - טייבה""}]",,,"[""recmXcYeVDjJftAUR""]"
recYxkG7Ind4GrjDm,shil:132896,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - טירת הכרמל","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""rec6PpcVK3orQ4RUY""]","ז'בוטינסקי 41, טירת הכרמל",,"ימים א', ב', ג', 'ד', ה': 9:00 עד 12:00.","[""04-857-6522""]",shil@tirat-carmel.muni.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-tirat-hacarmel"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - טירת הכרמל""}]",,,"[""recmXcYeVDjJftAUR""]"
recqXoAFrUbGQV0Ie,shil:215056,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - יבנה","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recPMYbM73N5FJwy3""]","הגלבוע 40, יבנה",המרכז העירוני להתנדבות,"ימים ב' וד' בין השעות 10:00 ל-12:30.

בימי ג' בין השעות 16:00 ל-17:30, בהתאם לפגישות שיתואמו.

חשוב לציין כי השירות בימי ג' יינתן בשעות אלו אך ורק בתיאום מראש.","[""08-942-5519"", ""08-942-5515""]",kineretv@yavne.muni.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-yavne"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - יבנה""}]",,,"[""recmXcYeVDjJftAUR""]"
recSs9Z9oYkEEi1L2,shil:132897,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - יהוד","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recxAHF2eDp9EyZmu""]","מקלב 2, יהוד",כניסה דרך רחוב הרצל,"יום א': 09:00-12:00

יום ב': 16:00-18:00 (בתיאום פגישה מראש)

יום ג': 09:00-12:00

יום ד': 09:00-12:00

יום ה': 09:00-12:00","[""03-536-1953"", ""03-536-4283""]",shilyahud@gmail.com,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-yahud"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - יהוד""}]",,,"[""recmXcYeVDjJftAUR""]"
recZiH1eXDtc7ukR9,shil:132900,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - יקנעם עלית","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""rec34xuYcmsiAr5c4""]","התמר 4, יקנעם עלית",במבנה הישן של העירייה (צמוד לעירייה),"יום א': 09:00-12:00

יום ב': 16:00-18:00

יום ג': 09:00-12:00

יום ד': 09:00-12:00

יום ה': 09:00-12:00","[""04-959-6048""]",klita1@yoqneam.org.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-yoqneam-ilit"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - יקנעם עלית""}]",,,"[""recmXcYeVDjJftAUR""]"
recxYBVFSZC99oWlw,shil:132903,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - ירושלים","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""rec0SrTC8m9Y8Ptwi""]","בן סירא 20, ירושלים",קומת כניסה,"א'-ה': 09:00-15:00, בתיאום מראש בלבד.","[""02-546-8679"", ""053-763-9873""]",shil@jerusalem.muni.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-jerusalem"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - ירושלים""}]",,,"[""recmXcYeVDjJftAUR""]"
